question,document
I just found this course — is it still okay to join now?,74eb249bbf
"Can I start the course late, or is it already too far along?",74eb249bbf
"If I join now, will I still be able to get a certificate somehow?",74eb249bbf
What do I need to do to qualify for the certificate if I’m coming in late?,74eb249bbf
"Is it too late to participate, or can I still submit the project for certification?",74eb249bbf
"I signed up for LLM Zoomcamp, but I never got a confirmation email. Do I still need to wait for it before starting the course?",977bf7786c
Is there some approval or acceptance email I’m supposed to get after registering for the LLM Zoomcamp?,977bf7786c
"Do I have to be on a registered list to watch the lessons and submit homework, or can I just start?",977bf7786c
What’s the point of the registration form for LLM Zoomcamp if it doesn’t affect access to the course?,977bf7786c
Can I begin learning and turning in homework for LLM Zoomcamp even if I only registered and didn’t receive any email back?,977bf7786c
Where do students join the Office Hours or live workshop if the Zoom link isn’t shared with everyone?,489dd1c9d9
How can I watch the live workshop stream if I’m not an instructor or TA?,489dd1c9d9
"Is the Zoom link for office hours posted anywhere for students, or only for staff?",489dd1c9d9
Where do I find the live video link for the workshop before it starts?,489dd1c9d9
What’s the best way for students to ask questions during the live session instead of posting in chat?,489dd1c9d9
How do I begin LLM Zoomcamp and what should I read first?,04919992b3
What’s the usual weekly workflow for this course after watching the videos?,04919992b3
"Do I need to start on a specific date, or can I jump in whenever I want?",04919992b3
Where are the deadlines and homework submissions handled for LLM Zoomcamp?,04919992b3
"Is the homework basically the same as the lesson notebooks, or is it different?",04919992b3
How do I find my name on the leaderboard if I can't see it right away?,c2903069a0
"Why am I showing up under a random name on the leaderboard, and can I change it?",c2903069a0
Where do I check what display name I'm using in the course profile?,c2903069a0
What should I do if I want my Slack or GitHub name to appear instead of the random one?,c2903069a0
How do I make sure my real name is used on the certificate instead of the default name?,c2903069a0
"Can I take the course at my own pace and still get the certificate, or is it only for the live cohort?",69d122f12e
"If I finish everything in self-paced mode, will I still receive a certificate?",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,69d122f12e
Do I need to peer-review other students’ capstone projects to be eligible for the certificate?,69d122f12e
"Can I do the project reviews after the course ends, or is that only possible while the cohort is running?",69d122f12e
"If I skip the first homework, can I still earn the course certificate as long as I do the capstone?",9f689c185f
"Do I have to complete every homework to get a certificate, or is the capstone enough?",9f689c185f
What do I actually need to pass in order to receive the certificate for this course?,9f689c185f
"Are homework assignments mandatory for certification, or are they just for practice and leaderboard points?",9f689c185f
"If homework isn't required, what role does it play in the course besides helping me learn?",9f689c185f
Why does the homework content keep changing before it’s out?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework is actually ready to do?,96286b4be4
Can the homework still change even if it’s already visible on the platform?,96286b4be4
"Is it safe to start the homework early, or could the final version be different?",96286b4be4
When is the next llm-zoomcamp course starting?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
What’s the next session date for llm-zoomcamp?,bd31146b0e
When can I expect the course to run next?,bd31146b0e
"Is there a planned next offering of the course, and when is it?",bd31146b0e
Where can I find the course videos for LLM Zoomcamp?,31456f4b5f
Is there a main place I should open first to get the lecture links?,31456f4b5f
How do I know which videos go with each lesson in the repo?,31456f4b5f
Do the lesson pages already include the relevant lecture videos?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest course lectures?,31456f4b5f
Where do I follow the LLM Zoomcamp syllabus and see the deadlines and homework in one place?,20c5a1347e
Is there a course page or platform where I can track my LLM Zoomcamp progress?,20c5a1347e
What’s the best place to check the current cohort structure for LLM Zoomcamp?,20c5a1347e
Where should I look if I want the homework and deadline schedule for this zoomcamp?,20c5a1347e
Does LLM Zoomcamp use the same course management platform as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Does this course have live sessions or office hours for every module, or is everything just prerecorded?",d65e05bd7a
"If I get stuck while going through a module, where should I ask for help?",d65e05bd7a
"Are live sessions for the course scheduled in advance, or do they only get announced when available?",d65e05bd7a
"What is AI Shipping Labs, and is it required if I want extra support and Zoom office hours?",d65e05bd7a
"Are there any free office hours for LLM Zoomcamp, or are extra support sessions only part of the paid community?",d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006
Does posting on Bluesky qualify for the learning in public requirement?,dbf5369006
Are Bluesky updates accepted as learning in public credits here?,dbf5369006
"If I share my course progress on Bluesky, can that be used for credits?",dbf5369006
Is Bluesky one of the platforms you accept for learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the LLM Zoomcamp Telegram link?,054f3fd58f
Where do I join the LLM Zoomcamp Telegram group for announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Where should I check for LLM Zoomcamp announcements on Telegram?,054f3fd58f
Why does the FAQ dataset have a different number of records than in the course videos?,e2d595f23c
"I followed the video exactly, but my FAQ count is off — did the dataset change over time?",e2d595f23c
Why are there more or fewer FAQ questions now than what’s shown in the recording?,e2d595f23c
Is the mismatch in record count because the FAQ data is live and gets updated?,e2d595f23c
